rseed,MAE,log10_MAE,ln_MAE
314,0.004666921644657903,-2.3309694906465275,-5.367255601386618
315,0.0053612028083486595,-2.270737763585973,-5.228566924531699
316,0.005788835294617054,-2.2374088069121303,-5.151824165729464
317,0.005144829276041718,-2.288629032116939,-5.269763092745856
318,0.005511889309195006,-2.2586995125968934,-5.2008478272585235
319,0.004807289613213578,-2.318099713188232,-5.337621843660996
320,0.0058298586752130906,-2.234341973083016,-5.144762519871856
321,0.006938928344966833,-2.1587075972403973,-4.970607933538733
322,0.006445535092217035,-2.190741022771279,-5.044367621643676
323,0.0055576587536237555,-2.2551081229001264,-5.192578346879616
324,0.0029589898768989887,-2.5288565206164635,-5.822907326692259
325,0.0032216510977638255,-2.4919214951150277,-5.737861287563297
326,0.004740873635323048,-2.32414162034299,-5.351533849008795
327,0.0037311273669903672,-2.4281599254869217,-5.591044847831719
328,0.007110490389940033,-2.148100446204034,-4.9461840656832665
329,0.008032054846709024,-2.095173334618658,-4.824314887531548
330,0.007071861325358119,-2.150466264146318,-4.951631562809907
331,0.007942222895805094,-2.1000579287730403,-4.835562081216755
332,0.00845282636080372,-2.07299805227353,-4.773254412970721
